Date,Stake,Ward/Branch,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Routes Completed,Doors in Route,Time Spent,Bags/Door,Bags/Route,Total Volunteers,Neighbourhood,ID
2023-09-23 12:42:27,Bonnie Doon Stake,Clareview Ward,3,1,25,60,1,25,60,1.0,25.0,4,Clareview,418
2023-09-23 12:20:56,Bonnie Doon Stake,Londonderry Ward,2,0,15,20,1,50,20,0.3,15.0,2,Londonderry,419
2023-09-23 12:30:40,Bonnie Doon Stake,Londonderry Ward,2,0,5,15,1,218,15,0.0229357798165137,5.0,2,Londonderry,420
2023-09-23 10:44:10,Bonnie Doon Stake,Londonderry Ward,1,0,2,5,1,1,5,2.0,2.0,1,Londonderry,421
2023-09-23 10:51:08,Bonnie Doon Stake,Londonderry Ward,2,0,32,45,1,27,45,1.1851851851851851,32.0,2,Londonderry,422
2023-09-23 11:01:08,Bonnie Doon Stake,Londonderry Ward,2,2,12,30,1,12,30,1.0,12.0,4,Londonderry,423
2023-09-23 11:07:50,Bonnie Doon Stake,Clareview Ward,1,1,36,45,1,15,45,2.4,36.0,2,Clareview,424
2023-09-23 11:14:37,Bonnie Doon Stake,Londonderry Ward,2,2,11,35,1,116,35,0.0948275862068965,11.0,4,Londonderry,425
2023-09-23 11:27:42,Bonnie Doon Stake,Clareview Ward,2,0,34,60,2,32,60,1.0625,17.0,2,Clareview,426
2023-09-23 11:49:10,Bonnie Doon Stake,Clareview Ward,2,0,3,3,1,195,3,0.0153846153846153,3.0,2,Clareview,427
2023-09-23 11:53:25,Bonnie Doon Stake,Clareview Ward,1,5,25,45,1,25,45,1.0,25.0,6,Clareview,428
2023-09-23 11:57:33,Bonnie Doon Stake,Londonderry Ward,4,0,17,30,1,17,30,1.0,17.0,4,Londonderry,429
2023-09-23 12:12:42,Bonnie Doon Stake,Londonderry Ward,2,2,39,60,1,195,60,0.2,39.0,4,Londonderry,430
2023-09-23 12:22:04,Bonnie Doon Stake,Clareview Ward,3,1,30,60,1,195,60,0.1538461538461538,30.0,4,Clareview,431
2023-09-23 12:28:31,Bonnie Doon Stake,Clareview Ward,1,0,55,180,1,225,180,0.2444444444444444,55.0,1,Clareview,432
2023-09-23 12:42:05,Bonnie Doon Stake,Clareview Ward,4,0,200,240,7,607,240,0.329489291598023,28.571428571428573,4,Clareview,433
2023-09-23 12:03:51,Gateway Stake,Ellerslie Ward,2,4,40,37,1,207,37,0.1932367149758454,40.0,6,Ellerslie,434
2023-09-23 11:29:41,Bonnie Doon Stake,Coronation Park Ward,1,1,38,90,2,300,90,0.1266666666666666,19.0,2,Coronation Park,435
2023-09-23 11:33:17,Edmonton North Stake,Stony Plain Ward,1,0,30,47,2,155,47,0.1935483870967742,15.0,1,Stony Plain,436
2023-09-23,Edmonton North Stake,Belmead Ward,1,3,55,195,1,279,195,0.1971326164874552,55.0,13,Belmead,437
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,39,120,1,313,120,0.1246006389776357,39.0,20,Belmead,438
2023-09-23,Edmonton North Stake,Belmead Ward,3,0,12,180,1,161,180,0.0745341614906832,12.0,30,Belmead,439
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,30,59,1,316,65,0.0949367088607595,30.0,5,Belmead,440
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,26,75,1,187,75,0.1390374331550802,26.0,20,Belmead,441
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,57,59,1,226,65,0.252212389380531,57.0,5,Belmead,442
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,71,59,1,343,65,0.2069970845481049,71.0,5,Belmead,443
2023-09-23,Edmonton North Stake,Belmead Ward,2,3,54,135,1,272,135,0.1985294117647058,54.0,23,Belmead,444
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,27,59,1,298,65,0.0906040268456375,27.0,5,Belmead,445
2023-09-23,Edmonton North Stake,Belmead Ward,1,2,25,135,1,245,135,0.1020408163265306,25.0,12,Belmead,446
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,35,59,1,239,65,0.1464435146443514,35.0,5,Belmead,447
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,19,75,1,264,75,0.0719696969696969,19.0,20,Belmead,448
2023-09-23,Edmonton North Stake,Belmead Ward,2,3,21,45,1,289,45,0.0726643598615917,21.0,23,Belmead,449
2023-09-23,Edmonton North Stake,Belmead Ward,4,0,31,75,1,267,75,0.1161048689138576,31.0,40,Belmead,450
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,12,59,1,200,65,0.06,12.0,5,Belmead,451
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,17,75,1,303,75,0.0561056105610561,17.0,20,Belmead,452
2023-09-23,Edmonton North Stake,Belmead Ward,1,0,35,105,1,288,105,0.1215277777777777,35.0,10,Belmead,453
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,35,60,1,257,60,0.1361867704280155,35.0,20,Belmead,454
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,17,59,1,186,65,0.0913978494623656,17.0,5,Belmead,455
2023-09-23,Edmonton North Stake,Belmead Ward,3,0,25,60,1,219,60,0.1141552511415525,25.0,30,Belmead,456
2023-09-23,Edmonton North Stake,Belmead Ward,1,1,20,60,1,280,60,0.0714285714285714,20.0,11,Belmead,457
2023-09-23,Edmonton North Stake,Belmead Ward,1,2,31,150,1,284,150,0.1091549295774647,31.0,12,Belmead,458
2023-09-23,Edmonton North Stake,Belmead Ward,1,3,80,120,1,296,120,0.2702702702702703,80.0,13,Belmead,459
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,20,59,1,234,65,0.0854700854700854,20.0,5,Belmead,460
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,28,59,1,264,65,0.106060606060606,28.0,5,Belmead,461
2023-09-23,Edmonton North Stake,Belmead Ward,1,3,13,60,1,210,60,0.0619047619047619,13.0,13,Belmead,462
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,13,59,1,289,65,0.0449826989619377,13.0,5,Belmead,463
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,47,105,1,268,105,0.1753731343283582,47.0,20,Belmead,464
2023-09-23,Edmonton North Stake,Belmead Ward,1,0,14,60,1,254,60,0.0551181102362204,14.0,10,Belmead,465
2023-09-23,Edmonton North Stake,Belmead Ward,2,2,45,195,1,240,195,0.1875,45.0,22,Belmead,466
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,40,59,1,288,65,0.1388888888888889,40.0,5,Belmead,467
2023-09-23,Edmonton North Stake,Belmead Ward,2,8,32,135,1,288,135,0.1111111111111111,32.0,28,Belmead,468
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,47,59,1,213,65,0.2206572769953051,47.0,5,Belmead,469
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,63,180,1,328,180,0.1920731707317073,63.0,20,Belmead,470
2023-09-23,Edmonton North Stake,Belmead Ward,1,0,23,135,1,281,135,0.0818505338078291,23.0,10,Belmead,471
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,31,90,1,256,90,0.12109375,31.0,21,Belmead,472
2023-09-23,Edmonton North Stake,Belmead Ward,1,0,33,120,1,297,120,0.1111111111111111,33.0,10,Belmead,473
2023-09-23,Edmonton North Stake,Belmead Ward,2,3,61,150,1,284,150,0.2147887323943662,61.0,23,Belmead,474
2023-09-23,Edmonton North Stake,Belmead Ward,2,3,37,120,1,275,120,0.1345454545454545,37.0,23,Belmead,475
